"ICD","Description","ICA","LGPS","RF","Lasso"
"K021","Karies des Dentins",1,546.5,13,1
"K801","Gallenblasenstein mit sonstiger Cholezystitis",2,1,7,1838
"I340","Mitralklappeninsuffizienz",3,7,1,1838
"Q211","Vorhofseptumdefekt",4,16,9,2
"N328","Sonstige näher bezeichnete Krankheiten der Harnblase",5,6,5,5
"S700","Prellung der Hüfte",6,13,621,1838
"J90","Pleuraerguss, anderenorts nicht klassifiziert",7,2,4,9
"J690","Pneumonie durch Nahrung oder Erbrochenes",8,3,620,1838
"E86","Volumenmangel",9,40,748,1838
"G402","Lokalisationsbezogene (fokale) (partielle) symptomatische Epilepsie und epileptische Syndrome mit komplexen fokalen Anfällen",10,5,77,1838
"F051","Delir bei Demenz",11,4,17,1838
"N135","Abknickung und Striktur des Ureters ohne Hydronephrose",12,31,194,1838
"I832","Varizen der unteren Extremitäten mit Ulzeration und Entzündung",13,30,361,1838
"K922","Gastrointestinale Blutung, nicht näher bezeichnet",14,18,758,1838
"K564","Sonstige Obturation des Darmes",15,8,734,1838
"J158","Sonstige bakterielle Pneumonie",16,14,110,1838
"S008","Oberflächliche Verletzung sonstiger Teile des Kopfes",17,20,757,1838
"K805","Gallengangsstein ohne Cholangitis oder Cholezystitis",18,11,746,1838
"G412","Status epilepticus mit komplexfokalen Anfällen",19,25,643,1838
"I272","Sonstige näher bezeichnete sekundäre pulmonale Hypertonie",20,28,3,1838
"L893","Dekubitus 4. Grades",21,43,36,1838
"Z035","Beobachtung bei Verdacht auf sonstige kardiovaskuläre Krankheiten",22,42,79,12.5
"H251","Cataracta nuclearis senilis",23,12,752,1838
"D508","Sonstige Eisenmangelanämien",24,10,677,1838
"C443","Sonstige bösartige Neubildungen: Haut sonstiger und nicht näher bezeichneter Teile des Gesichtes",25,9,25,1838
"C341","Bösartige Neubildung: Oberlappen (-Bronchus)",26,19,20,1838
"M256","Gelenksteife, anderenorts nicht klassifiziert",27,61,628,5
"N185","Chronische Nierenkrankheit, Stadium 5",28,26,24,1838
"T845","Infektion und entzündliche Reaktion durch eine Gelenkendoprothese",29,21,755,1838
"N184","Chronische Nierenkrankheit, Stadium 4",30,34,161,1838
"G401","Lokalisationsbezogene (fokale) (partielle) symptomatische Epilepsie und epileptische Syndrome mit einfachen fokalen Anfällen",31,22,753,1838
"K552","Angiodysplasie des Kolons",32,29,738,1838
"C20","Bösartige Neubildung des Rektums",33,17,2,1838
"R001","Bradykardie, nicht näher bezeichnet",34,15,732,1838
"C444","Sonstige bösartige Neubildungen: Behaarte Kopfhaut und Haut des Halses",35,35,737,1838
"K831","Verschluss des Gallenganges",36,36,32,1838
"E052","Hyperthyreose mit toxischer mehrknotiger Struma",37.5,32.5,754,1838
"R33","Harnverhaltung",37.5,32.5,31,1838
"T827","Infektion und entzündliche Reaktion durch sonstige Geräte, Implantate oder Transplantate im Herzen und in den Gefäßen",39,23,573,1838
"C504","Bösartige Neubildung: Oberer äußerer Quadrant der Brustdrüse",40,24,10,1838
"C348","Bösartige Neubildung: Bronchus und Lunge, mehrere Teilbereiche überlappend",41,53,50,1838
"K297","Gastritis, nicht näher bezeichnet",42.5,51.5,66,9
"R391","Sonstige Miktionsstörungen",42.5,51.5,134,1838
"L022","Hautabszess, Furunkel und Karbunkel am Rumpf",44,37,136,1838
"K088","Sonstige näher bezeichnete Krankheiten der Zähne und des Zahnhalteapparates",45,62,518,12.5
"D648","Sonstige näher bezeichnete Anämien",46,27,11,1838
"F410","Panikstörung [episodisch paroxysmale Angst]",47,41,676,1838
"I132","Hypertensive Herz- und Nierenkrankheit mit (kongestiver) Herzinsuffizienz und Niereninsuffizienz",48,86,278,12.5
"M625","Muskelschwund und -atrophie, anderenorts nicht klassifiziert",49,49,12,1838
"H258","Sonstige senile Kataraktformen",50,47,756,1838
"D376","Neubildung unsicheren oder unbekannten Verhaltens: Leber, Gallenblase und Gallengänge",51,54,685,1838
"K566","Sonstige und nicht näher bezeichnete intestinale Obstruktion",52,44,6,1838
"N183","Chronische Nierenkrankheit, Stadium 3",53,38,740,1838
"I513","Intrakardiale Thrombose, anderenorts nicht klassifiziert",54,39,23,1838
"R262","Gehbeschwerden, anderenorts nicht klassifiziert",55,63,39,1838
"C186","Bösartige Neubildung: Colon descendens",56,73,61,1838
"K102","Entzündliche Zustände der Kiefer",57,55,745,1838
"H402","Primäres Engwinkelglaukom",58,87,28,1838
"F063","Organische affektive Störungen",59,46,49,1838
"I952","Hypotonie durch Arzneimittel",60,45,48,1838
"D374","Neubildung unsicheren oder unbekannten Verhaltens: Kolon",61,101,597,1838
"G418","Sonstiger Status epilepticus",62,75,52,1838
"D120","Gutartige Neubildung: Zäkum",63,74,744,1838
"T858","Sonstige Komplikationen durch interne Prothesen, Implantate oder Transplantate, anderenorts nicht klassifiziert",64,546.5,572,1838
"J984","Sonstige Veränderungen der Lunge",65,64,469,1838
"C252","Bösartige Neubildung: Pankreasschwanz",66,89,38,1838
"C446","Sonstige bösartige Neubildungen: Haut der oberen Extremität, einschließlich Schulter",67,88,731,1838
"I361","Nichtrheumatische Trikuspidalklappeninsuffizienz",68,90,357,1838
"C793","Sekundäre bösartige Neubildung des Gehirns und der Hirnhäute",69,56,693,1838
"C900","Multiples Myelom",70,50,730,5
"I081","Krankheiten der Mitral- und Trikuspidalklappe, kombiniert",72,77,21,1838
"K317","Polyp des Magens und des Duodenums",72,77,94,1838
"M479","Spondylose, nicht näher bezeichnet",72,77,666,1838
"C674","Bösartige Neubildung: Hintere Harnblasenwand",74.5,79.5,681,1838
"M797","Fibromyalgie",74.5,79.5,16,1838
"C343","Bösartige Neubildung: Unterlappen (-Bronchus)",76,48,119,1838
"R065","Mundatmung",77,102,88,1838
"K754","Autoimmune Hepatitis",78,103,674,1838
"C782","Sekundäre bösartige Neubildung der Pleura",79,70,169,1838
"I341","Mitralklappenprolaps",80,69,22,1838
"I830","Varizen der unteren Extremitäten mit Ulzeration",82,66,198,1838
"K045","Chronische apikale Parodontitis",82,66,317,1838
"R522","Sonstiger chronischer Schmerz",82,66,715,1838
"M532","Instabilität der Wirbelsäule",84,68,645,1838
"C435","Bösartiges Melanom des Rumpfes",85,57,246,1838
"F453","Somatoforme autonome Funktionsstörung",86,93,124,1838
"S022","Nasenbeinfraktur",87.5,91.5,710,1838
"T857","Infektion und entzündliche Reaktion durch sonstige interne Prothesen, Implantate oder Transplantate",87.5,91.5,30,1838
"M549","Rückenschmerzen, nicht näher bezeichnet",89.5,81.5,725,1838
"R634","Abnorme Gewichtsabnahme",89.5,81.5,751,1838
"N130","Hydronephrose bei ureteropelviner Obstruktion",91,83,140,1838
"T179","Fremdkörper in den Atemwegen, Teil nicht näher bezeichnet",92,117,230,12.5
"N950","Postmenopausenblutung",93,71,129,1838
"E115","Diabetes mellitus, Typ 2: Mit peripheren vaskulären Komplikationen",94,72,702,1838
"S321","Fraktur des Os sacrum",95,60,8,1838
"I673","Progressive subkortikale vaskuläre Enzephalopathie",96,59,743,1838
"S724","Distale Fraktur des Femurs",97,58,340,1838
"D126","Gutartige Neubildung: Kolon, nicht näher bezeichnet",98,108,750,1838
"D480","Neubildung unsicheren oder unbekannten Verhaltens: Knochen und Gelenkknorpel",99.5,109.5,56,1838
"R18","Aszites",99.5,109.5,733,1838
"G442","Spannungskopfschmerz",102.5,105.5,183,1838
"N832","Sonstige und nicht näher bezeichnete Ovarialzysten",102.5,105.5,15,1838
"S222","Fraktur des Sternums",102.5,105.5,321,1838
"Z955","Vorhandensein eines Implantates oder Transplantates nach koronarer Gefäßplastik",102.5,105.5,111,1838
"C502","Bösartige Neubildung: Oberer innerer Quadrant der Brustdrüse",105,111,682,1838
"G560","Karpaltunnel-Syndrom",106,95,525,1838
"D122","Gutartige Neubildung: Colon ascendens",107,94,18,1838
"E875","Hyperkaliämie",108,84,199,1838
"C441","Sonstige bösartige Neubildungen: Haut des Augenlides, einschließlich Kanthus",109,85,71,1838
"I339","Akute Endokarditis, nicht näher bezeichnet",112,546.5,173,5
"J988","Sonstige näher bezeichnete Krankheiten der Atemwege",112,546.5,81,1838
"K622","Analprolaps",112,546.5,712,1838
