"ICD","Description","ICA","LGPS","RF","Lasso"
"I500","Rechtsherzinsuffizienz",1,20,2,351.5
"T840","Mechanische Komplikation durch eine Gelenkendoprothese",2,1,3,1.5
"Q211","Vorhofseptumdefekt",3,2,1,1.5
"G473","Schlafapnoe",4,7,5,153
"I702","Atherosklerose der Extremitätenarterien",5,10,456,298.5
"A415","Sepsis durch sonstige gramnegative Erreger",6,3,13,32.5
"I482","Vorhofflimmern, permanent",7,22,210,169
"I495","Sick-Sinus-Syndrom",8,6,458,232.5
"K922","Gastrointestinale Blutung, nicht näher bezeichnet",9,4,451,206.5
"Z450","Anpassung und Handhabung eines kardialen (elektronischen) Geräts",10,5,294,357
"D508","Sonstige Eisenmangelanämien",11,26,30,67.5
"N40","Prostatahyperplasie",12,8,42,132.5
"R073","Sonstige Brustschmerzen",13,11,452,391
"N179","Akutes Nierenversagen, nicht näher bezeichnet",14,13,349,186.5
"T814","Infektion nach einem Eingriff, anderenorts nicht klassifiziert",15,18,11,46.5
"R074","Brustschmerzen, nicht näher bezeichnet",16,9,194,206.5
"J181","Lobärpneumonie, nicht näher bezeichnet",17,12,112,206.5
"A46","Erysipel [Wundrose]",18,14,462.5,232.5
"F051","Delir bei Demenz",19,306.5,9,22.5
"J441","Chronische obstruktive Lungenkrankheit mit akuter Exazerbation, nicht näher bezeichnet",20,16,12,325.5
"R268","Sonstige und nicht näher bezeichnete Störungen des Ganges und der Mobilität",21,15,461,232.5
"K800","Gallenblasenstein mit akuter Cholezystitis",22,23,86,153
"E86","Volumenmangel",23,17,7,206.5
"K567","Ileus, nicht näher bezeichnet",24,30,8,110
"J440","Chronische obstruktive Lungenkrankheit mit akuter Infektion der unteren Atemwege",25,19,16,222
"I340","Mitralklappeninsuffizienz",26,25,22,245.5
"I484","Vorhofflattern, atypisch",27,21,457,245.5
"A411","Sepsis durch sonstige näher bezeichnete Staphylokokken",28.5,33.5,418,89.5
"G401","Lokalisationsbezogene (fokale) (partielle) symptomatische Epilepsie und epileptische Syndrome mit einfachen fokalen Anfällen",28.5,33.5,24,222
"S422","Fraktur des proximalen Endes des Humerus",30,27,459,325.5
"C795","Sekundäre bösartige Neubildung des Knochens und des Knochenmarkes",31,38.5,104,308
"T828","Sonstige näher bezeichnete Komplikationen durch Prothesen, Implantate oder Transplantate im Herzen und in den Gefäßen",32,38.5,395,286.5
"K625","Hämorrhagie des Anus und des Rektums",33,306.5,64,46.5
"R33","Harnverhaltung",34,306.5,372,245.5
"A090","Sonstige und nicht näher bezeichnete Gastroenteritis und Kolitis infektiösen Ursprungs",35,28,432,351.5
