"ICD","Description","ICA","LGPS","RF","Lasso"
"I481","Vorhofflimmern, persistierend",1,30,1,1
"I340","Mitralklappeninsuffizienz",2,1,285,145
"I495","Sick-Sinus-Syndrom",3,3,275,156
"D508","Sonstige Eisenmangelanämien",4,2,270,218.5
"H251","Cataracta nuclearis senilis",5,4,6,173.5
"F102","Psychische und Verhaltensstörungen durch Alkohol: Abhängigkeitssyndrom",6,5,33,1730.5
"H401","Primäres Weitwinkelglaukom",7,6.5,288.5,145
"F332","Rezidivierende depressive Störung, gegenwärtig schwere Episode ohne psychotische Symptome",8,6.5,287,1730.5
"D509","Eisenmangelanämie, nicht näher bezeichnet",9.5,175.5,142,11.5
"K318","Sonstige näher bezeichnete Krankheiten des Magens und des Duodenums",9.5,175.5,250,24
"J841","Sonstige interstitielle Lungenkrankheiten mit Fibrose",11,175.5,2,163
"M233","Sonstige Meniskusschädigungen",12,8,5,227
"I631","Hirninfarkt durch Embolie präzerebraler Arterien",14,13,11,49
"N328","Sonstige näher bezeichnete Krankheiten der Harnblase",14,13,8,24
"R000","Tachykardie, nicht näher bezeichnet",14,13,217,11.5
"M478","Sonstige Spondylose",16,9,16,1730.5
"G201","Primäres Parkinson-Syndrom mit mäßiger bis schwerer Beeinträchtigung",17,10,254,1730.5
"J961","Chronische respiratorische Insuffizienz, anderenorts nicht klassifiziert",18,17,227,41.5
"K565","Intestinale Adhäsionen [Briden] mit Obstruktion",19.5,15.5,278,163
"N201","Ureterstein",19.5,15.5,190,65
"G621","Alkohol-Polyneuropathie",21.5,175.5,239,41.5
"S832","Meniskusriss, akut",21.5,175.5,14,8.5
"C443","Sonstige bösartige Neubildungen: Haut sonstiger und nicht näher bezeichneter Teile des Gesichtes",23,11,277,91.5
"M472","Sonstige Spondylose mit Radikulopathie",25,19,48,19
"S722","Subtrochantäre Fraktur",25,19,153,1730.5
"Z921","Dauertherapie (gegenwärtig) mit Antikoagulanzien in der Eigenanamnese",25,19,36,74.5
"K635","Polyp des Kolons",27,24,283,145
"E052","Hyperthyreose mit toxischer mehrknotiger Struma",29,22,284,232.5
"I455","Sonstiger näher bezeichneter Herzblock",29,22,268,236.5
"I710","Dissektion der Aorta",29,22,12,41.5
"H810","Ménière-Krankheit",32,26,101,187
"K403","Hernia inguinalis, einseitig oder ohne Seitenangabe, mit Einklemmung, ohne Gangrän",32,26,163,230.5
"N308","Sonstige Zystitis",32,26,26,1730.5
"F103","Psychische und Verhaltensstörungen durch Alkohol: Entzugssyndrom",34,28,286,140.5
"K572","Divertikulose des Dickdarmes mit Perforation und Abszess",35,29,4,1730.5
"C170","Bösartige Neubildung: Duodenum",45.5,175.5,164,74.5
"C435","Bösartiges Melanom des Rumpfes",45.5,175.5,246,65
"D125","Gutartige Neubildung: Colon sigmoideum",45.5,175.5,57,11.5
