"ICD","Description","ICA","LGPS","RF","Lasso"
"D508","Sonstige Eisenmangelanämien",1,1,13,2
"D648","Sonstige näher bezeichnete Anämien",2,3,15,184
"E86","Volumenmangel",3,24,9,109.5
"D500","Eisenmangelanämie nach Blutverlust (chronisch)",4,2,55,16.5
"K318","Sonstige näher bezeichnete Krankheiten des Magens und des Duodenums",5,17,39,5.5
"K922","Gastrointestinale Blutung, nicht näher bezeichnet",6,6,20,8.5
"J690","Pneumonie durch Nahrung oder Erbrochenes",7,12,10,1
"R31","Nicht näher bezeichnete Hämaturie",8,4,145,49
"G473","Schlafapnoe",9,89,186,714.5
"E052","Hyperthyreose mit toxischer mehrknotiger Struma",10,19,1012,75.5
"D120","Gutartige Neubildung: Zäkum",11,107,749,29
"B99","Sonstige und nicht näher bezeichnete Infektionskrankheiten",12,5,32,975.5
"K250","Ulcus ventriculi: Akut, mit Blutung",13,9,65,16.5
"N390","Harnwegsinfektion, Lokalisation nicht näher bezeichnet",14,102,3,640
"K552","Angiodysplasie des Kolons",15,55,56,959.5
"K625","Hämorrhagie des Anus und des Rektums",16,80,1018,3.5
"K921","Meläna",17,8,73,228.5
"S060","Gehirnerschütterung",18,56,1,455.5
"Q211","Vorhofseptumdefekt",19,16,986,29
"G402","Lokalisationsbezogene (fokale) (partielle) symptomatische Epilepsie und epileptische Syndrome mit komplexen fokalen Anfällen",20,7,1015,863
"S008","Oberflächliche Verletzung sonstiger Teile des Kopfes",21,38,589,351.5
"T810","Blutung und Hämatom als Komplikation eines Eingriffes, anderenorts nicht klassifiziert",22,23,77,75.5
"N184","Chronische Nierenkrankheit, Stadium 4",23,805.5,981,8.5
"I109","Essentielle Hypertonie, nicht näher bezeichnet",24,39,122,184
"R040","Epistaxis",25,11,1023,49
"D695","Sekundäre Thrombozytopenie",26,125,78,8.5
"M256","Gelenksteife, anderenorts nicht klassifiziert",27,91,83,49
"A090","Sonstige und nicht näher bezeichnete Gastroenteritis und Kolitis infektiösen Ursprungs",28,10,1022,536
"N179","Akutes Nierenversagen, nicht näher bezeichnet",29,20,8,109.5
"N920","Zu starke oder zu häufige Menstruation bei regelmäßigem Menstruationszyklus",30,76,82,144.5
"C443","Sonstige bösartige Neubildungen: Haut sonstiger und nicht näher bezeichneter Teile des Gesichtes",31,13,16,714.5
"R51","Kopfschmerz",32,77,120,184
"D414","Neubildung unsicheren oder unbekannten Verhaltens: Harnblase",33,69,59,29
"E041","Nichttoxischer solitärer Schilddrüsenknoten",34,134,872,144.5
"T821","Mechanische Komplikation durch ein kardiales elektronisches Gerät",35,15,11,979.5
"N133","Sonstige und nicht näher bezeichnete Hydronephrose",36,27,22,351.5
"C795","Sekundäre bösartige Neubildung des Knochens und des Knochenmarkes",37,14,92,184
"R073","Sonstige Brustschmerzen",38,29,48,803
"L024","Hautabszess, Furunkel und Karbunkel an Extremitäten",39,48,193,268.5
"C349","Bösartige Neubildung: Bronchus oder Lunge, nicht näher bezeichnet",40,58,323,979.5
"I340","Mitralklappeninsuffizienz",41,32,2,966
"N47","Vorhauthypertrophie, Phimose und Paraphimose",42,108,553,75.5
"C20","Bösartige Neubildung des Rektums",43,18,4,49
"I724","Aneurysma und Dissektion einer Arterie der unteren Extremität",44,41,12,109.5
"R001","Bradykardie, nicht näher bezeichnet",45,25,997,611
"S801","Prellung sonstiger und nicht näher bezeichneter Teile des Unterschenkels",46,44,463,575.5
"S009","Oberflächliche Verletzung des Kopfes, Teil nicht näher bezeichnet",47,49,1003,351.5
"D509","Eisenmangelanämie, nicht näher bezeichnet",48,54,946,714.5
"J90","Pleuraerguss, anderenorts nicht klassifiziert",49,21,989,844
"N938","Sonstige näher bezeichnete abnorme Uterus- oder Vaginalblutung",50,164,280,16.5
"H401","Primäres Weitwinkelglaukom",51,26,1019,109.5
